# t	k	i(0)	i(1)	i(2)	o(0)	o(1)	o(2)	i	o
2520.02	1	134	153	235	91	131	133	522	355
2520.02	2	73	131	103	77	103	119	307	299
2520.02	3	17	29	20	26	40	61	66	127
2520.02	4	1	4	4	9	21	14	9	44
2520.02	5	1	1	1	2	3	3	3	8
2520.02	6	0	0	0	0	0	1	0	1


2550	0	36	20	48	59	33	74	104	166
2550	1	182	111	236	109	81	165	529	355
2550	2	59	67	144	74	69	156	270	299
2550	3	18	19	38	46	23	58	75	127
2550	4	2	4	14	6	12	26	20	44
2550	5	0	0	2	3	3	2	2	8
2550	6	0	0	0	0	0	1	0	1


2580.01	0	45	15	25	79	40	47	85	166
2580.01	1	274	131	145	170	76	110	550	356
2580.01	2	136	50	94	159	45	95	280	299
2580.01	3	28	11	33	59	38	31	72	128
2580.01	4	4	0	7	16	4	22	11	42
2580.01	5	0	0	2	3	4	1	2	8
2580.01	6	0	0	0	1	0	0	0	1


2610.01	0	37	23	19	88	39	39	79	166
2610.01	1	243	188	128	166	103	87	559	356
2610.01	2	161	65	56	143	92	64	282	299
2610.01	3	41	13	12	68	40	20	66	128
2610.01	4	10	1	1	24	14	4	12	42
2610.01	5	1	1	0	3	3	2	2	8
2610.01	6	0	0	0	1	0	0	0	1


2640.01	0	33	23	25	62	63	41	81	166
2640.01	1	161	242	156	126	148	83	559	357
2640.01	2	103	109	65	86	122	90	277	298
2640.01	3	30	31	13	43	52	34	74	129
2640.01	4	5	2	0	13	20	9	7	42
2640.01	5	1	1	0	3	2	2	2	7
2640.01	6	0	0	0	0	1	0	0	1


2670.02	0	35	29	24	56	52	58	88	166
2670.02	1	177	176	195	113	115	129	548	357
2670.02	2	78	112	97	91	107	100	287	298
2670.02	3	25	18	21	42	52	37	64	131
2670.02	4	6	2	3	16	12	12	11	40
2670.02	5	0	1	0	3	1	3	1	7
2670.02	6	0	1	0	0	0	1	1	1


2700.01	0	27	34	28	49	58	59	89	166
2700.01	1	181	198	177	124	115	120	556	359
2700.01	2	89	85	94	92	111	94	268	297
2700.01	3	25	30	21	47	50	33	76	130
2700.01	4	5	5	0	12	14	14	10	40
2700.01	5	1	0	0	4	3	0	1	7
2700.01	6	0	0	0	0	1	0	0	1


2730.01	0	31	37	38	47	64	55	106	166
2730.01	1	156	209	177	115	147	99	542	361
2730.01	2	83	104	73	86	108	102	260	296
2730.01	3	23	39	13	37	57	37	75	131
2730.01	4	6	3	4	12	17	10	13	39
2730.01	5	1	2	1	3	1	2	4	6
2730.01	6	0	0	0	0	0	1	0	1


2760.01	0	23	35	35	45	63	59	93	167
2760.01	1	150	159	251	83	106	172	560	361
2760.01	2	49	103	113	77	104	115	265	296
2760.01	3	16	24	25	28	38	64	65	130
2760.01	4	3	5	6	6	15	18	14	39
2760.01	5	1	2	0	3	2	1	3	6
2760.01	6	0	0	0	0	0	1	0	1


2790.01	0	31	21	33	50	34	83	85	167
2790.01	1	207	140	238	121	94	148	585	363
2790.01	2	75	59	111	99	68	129	245	296
2790.01	3	19	12	38	48	31	52	69	131
2790.01	4	1	3	9	12	8	16	13	36
2790.01	5	0	1	2	3	1	2	3	6
2790.01	6	0	0	0	0	0	1	0	1


2820	0	38	30	20	75	46	46	88	167
2820	1	264	147	159	158	99	107	570	364
2820	2	117	57	94	143	58	96	268	297
2820	3	30	8	22	60	29	40	60	129
2820	4	12	0	2	21	7	8	14	36
2820	5	0	0	0	3	3	0	0	6
2820	6	0	0	0	1	0	0	0	1


2850.02	0	43	29	19	69	61	37	91	167
2850.02	1	218	206	148	152	120	92	572	364
2850.02	2	124	76	53	140	83	74	253	297
2850.02	3	45	11	17	60	44	25	73	129
2850.02	4	8	0	2	15	13	8	10	36
2850.02	5	1	0	0	2	1	3	1	6
2850.02	6	0	0	0	1	0	0	0	1


2880.02	0	29	45	22	48	70	49	96	167
2880.02	1	156	254	154	115	164	85	564	364
2880.02	2	79	118	63	88	133	76	260	297
2880.02	3	27	30	8	35	66	28	65	129
2880.02	4	11	3	1	11	15	10	15	36
2880.02	5	0	0	0	4	2	0	0	6
2880.02	6	0	0	0	1	0	0	0	1


2910.02	0	25	32	28	38	76	53	85	167
2910.02	1	131	229	220	83	155	127	580	365
2910.02	2	71	97	93	81	96	119	261	296
2910.02	3	18	31	14	41	44	45	63	130
2910.02	4	4	5	2	5	19	11	11	35
2910.02	5	0	0	0	1	3	2	0	6
2910.02	6	0	0	0	0	1	0	0	1


2940.03	0	28	25	44	43	50	74	97	167
2940.03	1	140	168	262	81	120	165	570	366
2940.03	2	53	84	118	79	91	128	255	298
2940.03	3	12	33	18	26	45	56	63	127
2940.03	4	1	12	2	5	14	16	15	35
2940.03	5	0	0	0	0	1	5	0	6
2940.03	6	0	0	0	0	1	0	0	1


2970.01	0	39	25	49	51	42	74	113	167
2970.01	1	185	137	230	108	93	166	552	367
2970.01	2	71	60	118	97	72	128	249	297
2970.01	3	17	22	35	42	28	57	74	127
2970.01	4	1	2	5	11	11	13	8	35
2970.01	5	0	1	1	4	0	2	2	6
2970.01	6	0	0	2	0	1	0	2	1


3000.03	0	40	26	37	68	48	51	103	167
3000.03	1	268	153	144	160	97	110	565	367
3000.03	2	111	70	76	141	76	83	257	300
3000.03	3	31	11	18	67	32	25	60	124
3000.03	4	5	0	7	18	6	11	12	35
3000.03	5	0	1	1	2	2	2	2	6
3000.03	6	1	0	0	0	0	1	1	1


3030.05	0	43	39	29	71	55	42	111	168
3030.05	1	223	206	121	173	116	77	550	366
3030.05	2	141	61	60	125	102	73	262	300
3030.05	3	32	15	17	56	40	28	64	124
3030.05	4	4	4	3	15	12	8	11	35
3030.05	5	1	0	1	4	0	3	2	7


3060.01	0	31	39	23	62	65	41	93	168
3060.01	1	168	269	153	95	177	94	590	366
3060.01	2	85	100	54	97	129	75	239	301
3060.01	3	31	24	11	50	49	24	66	123
3060.01	4	6	3	1	14	14	7	10	35
3060.01	5	1	0	0	5	1	1	1	7
3060.01	6	1	0	0	0	0	0	1	0


3090.01	0	28	37	31	46	64	58	96	168
3090.01	1	152	233	192	94	156	116	577	366
3090.01	2	61	116	80	81	130	91	257	302
3090.01	3	16	36	5	34	56	32	57	122
3090.01	4	2	7	4	4	17	14	13	35
3090.01	5	0	0	0	0	6	1	0	7


3120.06	0	27	28	35	39	58	72	90	169
3120.06	1	152	180	259	90	115	161	591	366
3120.06	2	59	81	109	75	95	132	249	302
3120.06	3	10	24	25	33	35	53	59	121
3120.06	4	2	4	4	11	13	11	10	35
3120.06	5	0	0	1	2	1	4	1	7


3150	0	27	33	35	68	44	57	95	169
3150	1	225	149	208	124	110	132	582	366
3150	2	77	86	88	90	92	120	251	302
3150	3	19	11	33	50	27	44	63	121
3150	4	1	5	3	12	10	13	9	35
3150	5	0	0	0	5	1	1	0	7


3180.01	0	34	40	24	51	61	58	98	170
3180.01	1	201	190	187	133	118	116	578	367
3180.01	2	81	79	94	100	89	111	254	300
3180.01	3	22	18	22	48	42	31	62	121
3180.01	4	3	1	4	8	16	12	8	36
3180.01	5	0	0	0	1	2	3	0	6


3210.01	0	31	37	31	50	78	42	99	170
3210.01	1	182	225	178	122	145	100	585	367
3210.01	2	70	112	62	96	111	94	244	301
3210.01	3	22	28	10	32	53	35	60	120
3210.01	4	4	5	2	7	19	10	11	36
3210.01	5	0	1	0	2	2	2	1	6


3240.03	0	30	41	27	46	66	58	98	170
3240.03	1	181	192	190	113	130	125	563	368
3240.03	2	79	111	98	100	109	92	288	301
3240.03	3	18	13	13	39	40	40	44	119
3240.03	4	2	3	1	11	12	13	6	36
3240.03	5	0	0	1	1	3	2	1	6


3270	0	33	40	32	49	64	57	105	170
3270	1	175	200	187	121	133	114	562	368
3270	2	78	105	84	94	113	94	267	301
3270	3	23	28	9	36	45	38	60	119
3270	4	4	2	0	10	19	7	6	36
3270	5	0	0	0	3	1	2	0	6


3300.03	0	33	37	31	57	56	57	101	170
3300.03	1	181	192	207	114	119	136	580	369
3300.03	2	83	84	82	100	103	97	249	300
3300.03	3	16	21	24	28	48	44	61	120
3300.03	4	0	7	2	12	12	11	9	35
3300.03	5	0	0	0	2	3	1	0	6


3330.01	0	30	36	43	50	68	53	109	171
3330.01	1	173	187	194	118	117	134	554	369
3330.01	2	66	113	98	67	118	114	277	299
3330.01	3	12	24	18	35	49	36	54	120
3330.01	4	1	2	3	10	9	17	6	36
3330.01	5	0	0	0	2	1	2	0	5


3360.06	0	34	32	41	47	60	64	107	171
3360.06	1	189	162	217	131	99	140	568	370
3360.06	2	74	71	120	88	85	127	265	300
3360.06	3	13	14	22	32	29	57	49	118
3360.06	4	1	3	6	11	9	16	10	36
3360.06	5	0	1	0	2	1	2	1	5


3390	0	37	28	29	59	42	71	94	172
3390	1	248	133	213	146	86	137	594	369
3390	2	95	57	98	122	67	114	250	303
3390	3	21	9	27	58	25	32	57	115
3390	4	2	1	1	17	5	14	4	36
3390	5	0	0	1	1	3	1	1	5


3420.01	0	43	32	30	64	66	42	105	172
3420.01	1	248	203	129	177	104	88	580	369
3420.01	2	118	65	65	138	88	78	248	304
3420.01	3	30	10	21	44	40	31	61	115
3420.01	4	2	1	2	17	12	6	5	35
3420.01	5	1	0	0	2	1	2	1	5


3450	0	34	41	32	47	82	45	107	174
3450	1	175	257	147	141	142	87	579	370
3450	2	96	97	64	100	129	72	257	301
3450	3	17	23	7	28	50	39	47	117
3450	4	6	3	0	11	16	6	9	33
3450	5	1	0	0	2	2	1	1	5


3480.02	0	30	37	35	44	79	52	102	175
3480.02	1	151	257	176	111	153	106	584	370
3480.02	2	72	110	77	69	132	99	259	300
3480.02	3	11	26	14	31	53	34	51	118
3480.02	4	3	1	0	8	14	10	4	32
3480.02	5	0	0	0	4	0	1	0	5


3510	0	24	37	42	33	73	69	103	175
3510	1	116	215	256	77	149	145	587	371
3510	2	52	111	92	60	103	138	255	301
3510	3	11	23	15	24	45	47	49	116
3510	4	0	4	2	8	17	7	6	32
3510	5	0	0	0	1	3	1	0	5


3540.01	0	23	34	53	46	50	79	110	175
3540.01	1	173	136	277	101	90	180	586	371
3540.01	2	62	80	98	78	88	137	240	303
3540.01	3	10	20	28	32	36	46	58	114
3540.01	4	0	3	2	9	9	14	5	32
3540.01	5	0	1	0	2	1	2	1	5


3570	0	32	30	44	61	41	74	106	176
3570	1	239	128	224	134	77	160	591	371
3570	2	71	43	131	102	58	143	245	303
3570	3	13	6	33	45	20	48	52	113
3570	4	1	0	4	14	9	9	5	32
3570	5	0	0	1	0	2	3	1	5


3600.01	0	41	28	36	78	46	52	105	176
3600.01	1	299	153	144	172	92	107	596	371
3600.01	2	105	55	79	157	63	83	239	303
3600.01	3	22	8	24	53	30	30	54	113
3600.01	4	2	0	3	10	13	9	5	32
3600.01	5	1	0	0	0	0	5	1	5


3630.02	0	41	34	23	77	63	36	98	176
3630.02	1	262	215	129	170	118	83	606	371
3630.02	2	118	62	62	141	91	71	242	303
3630.02	3	27	8	12	51	37	25	47	113
3630.02	4	3	2	1	8	12	12	6	32
3630.02	5	1	0	0	5	0	0	1	5


3660.01	0	20	33	21	44	78	55	74	177
3660.01	1	168	293	182	117	170	83	643	370
3660.01	2	92	106	45	98	139	69	243	306
3660.01	3	16	18	1	29	48	33	35	110
3660.01	4	4	0	0	11	14	8	4	33
3660.01	5	0	1	0	1	2	1	1	4


3690	0	20	33	34	34	71	72	87	177
3690	1	134	233	262	81	157	132	629	370
3690	2	36	112	87	55	120	131	235	306
3690	3	4	23	14	19	44	47	41	110
3690	4	0	7	1	5	14	14	8	33
3690	5	0	0	0	0	2	2	0	4


3720.02	0	27	21	52	35	48	94	100	177
3720.02	1	153	136	308	100	88	184	597	372
3720.02	2	48	75	137	66	75	164	260	305
3720.02	3	3	16	21	23	25	61	40	109
3720.02	4	2	0	1	9	10	14	3	33
3720.02	5	0	0	0	0	2	2	0	4


3750.01	0	33	19	53	60	36	81	105	177
3750.01	1	223	140	245	129	89	155	608	373
3750.01	2	72	47	112	93	58	153	231	304
3750.01	3	8	9	30	45	24	40	47	109
3750.01	4	0	2	6	8	9	16	8	33
3750.01	5	0	0	1	1	1	2	1	4


3780.04	0	45	29	42	67	36	74	116	177
3780.04	1	242	145	199	142	96	135	586	373
3780.04	2	88	54	100	120	66	118	242	304
3780.04	3	16	9	23	52	28	29	48	109
3780.04	4	1	1	5	11	11	11	7	33
3780.04	5	0	1	0	0	2	2	1	4


3810	0	40	24	41	67	42	68	105	177
3810	1	222	215	168	142	125	106	605	373
3810	2	90	52	92	116	97	91	234	304
3810	3	19	19	14	35	37	37	52	109
3810	4	1	0	3	12	9	13	4	34
3810	5	0	0	0	0	0	3	0	3


3840.01	0	35	28	47	61	52	64	110	177
3840.01	1	198	247	166	116	152	105	611	373
3840.01	2	64	71	81	97	112	96	216	305
3840.01	3	22	15	16	35	35	38	53	108
3840.01	4	2	4	3	12	14	8	9	34
3840.01	5	1	0	0	1	0	2	1	3


3870.04	0	31	25	44	54	57	66	100	177
3870.04	1	204	214	199	129	129	115	617	373
3870.04	2	72	84	76	97	111	98	232	306
3870.04	3	20	20	6	36	38	35	46	109
3870.04	4	3	1	1	13	9	10	5	32
3870.04	5	0	0	0	1	0	2	0	3


3900.03	0	30	30	34	52	56	69	94	177
3900.03	1	243	169	213	145	113	115	625	373
3900.03	2	72	70	90	117	70	119	232	306
3900.03	3	15	10	22	33	27	49	47	109
3900.03	4	2	0	0	14	12	6	2	32
3900.03	5	0	0	0	1	1	1	0	3


3930.01	0	35	29	38	61	44	72	102	177
3930.01	1	237	185	199	145	122	106	621	373
3930.01	2	92	67	59	132	87	87	218	306
3930.01	3	24	13	20	38	31	41	57	110
3930.01	4	2	0	0	13	9	9	2	31
3930.01	5	0	0	0	1	1	1	0	3


3960	0	41	35	36	71	43	63	112	177
3960	1	224	190	195	135	124	114	609	373
3960	2	86	67	69	112	98	96	222	306
3960	3	22	10	14	45	29	36	46	110
3960	4	3	1	6	12	8	11	10	31
3960	5	0	0	1	1	1	1	1	3


3990.03	0	43	35	33	69	66	42	111	177
3990.03	1	214	229	157	144	128	101	600	373
3990.03	2	101	71	67	108	105	93	239	306
3990.03	3	21	11	11	46	39	25	43	110
3990.03	4	3	3	0	16	9	6	6	31
3990.03	5	1	0	0	0	2	1	1	3


4020.01	0	30	46	27	61	70	47	103	178
4020.01	1	190	258	162	112	167	93	610	372
4020.01	2	83	99	62	104	123	79	244	306
4020.01	3	17	14	7	39	45	28	38	112
4020.01	4	3	1	0	7	11	11	4	29
4020.01	5	1	0	0	1	2	0	1	3


4050.03	0	26	46	28	64	69	45	100	178
4050.03	1	197	234	190	114	151	107	621	372
4050.03	2	92	88	53	103	116	87	233	306
4050.03	3	16	11	12	42	33	38	39	113
4050.03	4	2	5	0	10	12	6	7	28
4050.03	5	0	0	0	0	3	0	0	3


4080.01	0	29	44	34	56	75	47	107	178
4080.01	1	201	244	173	114	159	99	618	372
4080.01	2	78	87	55	109	107	91	220	307
4080.01	3	15	19	13	40	39	33	47	112
4080.01	4	0	4	4	3	16	9	8	28
4080.01	5	0	0	0	1	2	0	0	3


4110.02	0	32	41	42	54	71	55	115	180
4110.02	1	170	223	203	98	153	119	596	370
4110.02	2	76	91	72	96	103	108	239	307
4110.02	3	9	25	12	34	41	37	46	112
4110.02	4	0	3	1	5	13	10	4	28
4110.02	5	0	0	0	0	2	1	0	3


4140.02	0	30	33	51	49	55	76	114	180
4140.02	1	173	178	259	107	112	151	610	370
4140.02	2	63	74	87	91	93	123	224	307
4140.02	3	12	13	16	24	35	55	41	114
4140.02	4	0	3	7	5	7	14	10	26
4140.02	5	0	1	0	2	0	1	1	3


4170	0	39	29	54	54	43	83	122	180
4170	1	191	154	262	113	103	156	607	372
4170	2	54	53	100	91	73	141	207	305
4170	3	14	15	24	32	26	56	53	114
4170	4	0	1	10	6	7	13	11	26
4170	5	0	0	0	2	0	1	0	3


4200.03	0	53	23	46	76	43	61	122	180
4200.03	1	237	155	204	141	97	137	596	375
4200.03	2	79	64	83	110	80	112	226	302
4200.03	3	12	16	24	40	33	42	52	115
4200.03	4	0	0	4	11	5	9	4	25
4200.03	5	0	0	0	3	0	0	0	3


4230.04	0	53	21	41	63	53	65	115	181
4230.04	1	222	171	219	134	100	140	612	374
4230.04	2	76	67	82	108	82	112	225	302
4230.04	3	15	5	17	53	23	39	37	115
4230.04	4	0	4	5	6	9	10	9	25
4230.04	5	0	0	2	2	1	0	2	3


4260.02	0	48	23	30	86	33	62	101	181
4260.02	1	286	156	187	172	94	109	629	375
4260.02	2	106	43	77	140	68	95	226	303
4260.02	3	23	9	9	52	27	34	41	113
4260.02	4	2	0	1	13	8	4	3	25
4260.02	5	0	0	0	2	1	0	0	3


4290.02	0	50	32	39	68	49	64	121	181
4290.02	1	217	191	192	149	124	105	600	378
4290.02	2	85	69	77	97	86	117	231	300
4290.02	3	13	6	23	42	32	39	42	113
4290.02	4	3	0	2	10	7	8	5	25
4290.02	5	0	0	1	2	0	1	1	3


4320.01	0	46	36	37	61	63	57	119	181
4320.01	1	193	223	183	132	145	101	599	378
4320.01	2	84	87	65	102	100	99	236	301
4320.01	3	20	11	12	38	40	34	43	112
4320.01	4	1	0	2	9	8	8	3	25
4320.01	5	0	0	0	2	1	0	0	3


4350.05	0	42	41	36	53	72	58	119	183
4350.05	1	209	211	199	135	125	116	619	376
4350.05	2	68	73	63	109	102	90	204	301
4350.05	3	25	14	13	40	30	42	52	112
4350.05	4	2	3	1	8	13	4	6	25
4350.05	5	0	0	0	1	0	2	0	3


4380.01	0	37	44	42	51	61	71	123	183
4380.01	1	168	221	218	117	139	120	607	376
4380.01	2	69	78	71	80	112	109	218	301
4380.01	3	12	22	13	34	47	32	47	113
4380.01	4	2	2	1	4	8	12	5	24
4380.01	5	0	0	0	2	0	1	0	3


4410	0	31	32	40	67	49	67	103	183
4410	1	176	190	276	92	118	166	642	376
4410	2	64	59	84	81	91	129	207	301
4410	3	5	20	19	30	37	46	44	113
4410	4	1	1	2	5	7	12	4	24
4410	5	0	0	0	2	0	1	0	3


4440	0	32	33	43	64	47	72	108	183
4440	1	236	158	253	130	94	154	647	378
4440	2	55	55	77	91	79	129	187	299
4440	3	12	9	31	37	34	42	52	113
4440	4	0	2	3	11	3	10	5	24
4440	5	0	0	1	2	0	1	1	3


4470.02	0	34	27	46	71	43	70	107	184
4470.02	1	266	163	208	149	96	133	637	378
4470.02	2	74	50	90	114	70	114	214	298
4470.02	3	15	6	14	44	31	38	35	113
4470.02	4	1	0	4	10	7	7	5	24
4470.02	5	0	1	1	2	0	1	2	3


4500	0	39	22	34	82	44	58	95	184
4500	1	291	177	188	176	103	99	656	378
4500	2	100	45	66	125	71	102	211	298
4500	3	14	6	13	52	22	39	33	113
4500	4	1	0	2	9	11	4	3	24
4500	5	1	0	0	2	0	1	1	3
4500	6	0	1	0	0	0	0	1	0


4530	0	43	26	33	78	58	48	102	184
4530	1	247	203	191	145	113	122	641	380
4530	2	92	61	67	115	86	96	220	297
4530	3	15	9	11	50	31	31	35	112
4530	4	0	1	1	6	12	6	2	24
4530	5	0	0	0	3	0	0	0	3


4560.04	0	31	33	34	64	73	47	98	184
4560.04	1	200	291	165	124	158	98	656	380
4560.04	2	72	87	47	103	122	74	206	299
4560.04	3	16	11	11	24	51	35	38	110
4560.04	4	1	0	1	3	17	4	2	24
4560.04	5	0	0	0	2	1	0	0	3


4590.01	0	36	38	33	46	68	71	107	185
4590.01	1	169	216	251	105	132	142	636	379
4590.01	2	54	85	84	79	108	112	223	299
4590.01	3	8	16	7	35	34	41	31	110
4590.01	4	1	1	1	3	12	9	3	24
4590.01	5	0	0	0	0	2	1	0	3


4620.01	0	34	31	43	53	47	85	108	185
4620.01	1	195	164	284	108	109	162	643	379
4620.01	2	44	54	110	89	67	143	208	299
4620.01	3	10	12	15	29	33	49	37	111
4620.01	4	0	1	3	4	5	14	4	23
4620.01	5	0	0	0	0	1	2	0	3


4650.05	0	40	29	39	69	37	79	108	185
4650.05	1	244	145	247	131	94	155	636	380
4650.05	2	67	40	118	114	61	124	225	299
4650.05	3	3	7	16	31	24	55	26	110
4650.05	4	1	1	3	8	5	10	5	23
4650.05	5	0	0	0	2	1	0	0	3


4680.02	0	42	28	38	82	49	54	108	185
4680.02	1	261	206	173	162	111	107	640	380
4680.02	2	86	50	79	119	91	90	215	300
4680.02	3	15	9	11	32	35	42	35	109
4680.02	4	0	0	2	8	6	9	2	23
4680.02	5	0	0	0	1	1	1	0	3


